CodMun;REGIAO;COD UF;UF;NOME MUNIC;POP EST;CLASSE POP
1100015;1 - Norte;11;RO;ALTA FLORESTA DOESTE;25578;4 - 20001 até 50000
1100023;1 - Norte;11;RO;ARIQUEMES;104401;6 - 100001 até 500000
1100031;1 - Norte;11;RO;CABIXI;6355;2 - 5001 até 10000
1100049;1 - Norte;11;RO;CACOAL;87226;5 - 50001 até 100000
1100056;1 - Norte;11;RO;CEREJEIRAS;17986;3 - 10001 até 20000
1100064;1 - Norte;11;RO;COLORADO DO OESTE;18817;3 - 10001 até 20000
1100072;1 - Norte;11;RO;CORUMBIARA;8842;2 - 5001 até 10000
1100080;1 - Norte;11;RO;COSTA MARQUES;16651;3 - 10001 até 20000
1100098;1 - Norte;11;RO;ESPIGAO D'OESTE;32385;4 - 20001 até 50000
1100106;1 - Norte;11;RO;GUAJARA-MIRIM;46632;4 - 20001 até 50000
1100114;1 - Norte;11;RO;JARU;55738;5 - 50001 até 100000
1100122;1 - Norte;11;RO;JI-PARANA;130419;6 - 100001 até 500000
1100130;1 - Norte;11;RO;MACHADINHO D'OESTE;37167;4 - 20001 até 50000
1100148;1 - Norte;11;RO;NOVA BRASILANDIA D'OESTE;21592;4 - 20001 até 50000
1100155;1 - Norte;11;RO;OURO PRETO DO OESTE;39924;4 - 20001 até 50000
1100189;1 - Norte;11;RO;PIMENTA BUENO;37512;4 - 20001 até 50000
1100205;1 - Norte;11;RO;PORTO VELHO;502748;7 - Maior que 500000
1100254;1 - Norte;11;RO;PRESIDENTE MEDICI;22557;4 - 20001 até 50000
1100262;1 - Norte;11;RO;RIO CRESPO;3750;1 - Até 5000
1100288;1 - Norte;11;RO;ROLIM DE MOURA;56242;5 - 50001 até 100000
1100296;1 - Norte;11;RO;SANTA LUZIA D'OESTE;8532;2 - 5001 até 10000
1100304;1 - Norte;11;RO;VILHENA;91801;5 - 50001 até 100000
1100320;1 - Norte;11;RO;SAO MIGUEL DO GUAPORE;23933;4 - 20001 até 50000
1100338;1 - Norte;11;RO;NOVA MAMORE;27600;4 - 20001 até 50000
1100346;1 - Norte;11;RO;ALVORADA D'OESTE;17063;3 - 10001 até 20000
1100379;1 - Norte;11;RO;ALTO ALEGRE DOS PARECIS;13940;3 - 10001 até 20000
1100403;1 - Norte;11;RO;ALTO PARAISO;20210;4 - 20001 até 50000
1100452;1 - Norte;11;RO;BURITIS;37838;4 - 20001 até 50000
1100502;1 - Norte;11;RO;NOVO HORIZONTE DO OESTE;10276;3 - 10001 até 20000
1100601;1 - Norte;11;RO;CACAULANDIA;6367;2 - 5001 até 10000
1100700;1 - Norte;11;RO;CAMPO NOVO DE RONDONIA;14220;3 - 10001 até 20000
1100809;1 - Norte;11;RO;CANDEIAS DO JAMARI;24155;4 - 20001 até 50000
1100908;1 - Norte;11;RO;CASTANHEIRAS;3617;1 - Até 5000
1100924;1 - Norte;11;RO;CHUPINGUAIA;10129;3 - 10001 até 20000
1100940;1 - Norte;11;RO;CUJUBIM;20974;4 - 20001 até 50000
1101005;1 - Norte;11;RO;GOVERNADOR JORGE TEIXEIRA;10127;3 - 10001 até 20000
1101104;1 - Norte;11;RO;ITAPUA DO OESTE;9995;2 - 5001 até 10000
1101203;1 - Norte;11;RO;MINISTRO ANDREAZZA;10823;3 - 10001 até 20000
1101302;1 - Norte;11;RO;MIRANTE DA SERRA;12360;3 - 10001 até 20000
1101401;1 - Norte;11;RO;MONTE NEGRO;15873;3 - 10001 até 20000
1101435;1 - Norte;11;RO;NOVA UNIAO;7824;2 - 5001 até 10000
