Ano;UF;MUNICIPIO;CODMUN_IBGE
201512;AC;ACRELANDIA;1200013
201512;AC;ASSIS BRASIL;1200054
201512;AC;BRASILEIA;1200104
201512;AC;CRUZEIRO DO SUL;1200203
201512;AC;CRUZEIRO DO SUL;1200203
201512;AC;EPITACIOLANDIA;1200252
201512;AC;FEIJO;1200302
201512;AC;MANCIO LIMA;1200336
201512;AC;PLACIDO DE CASTRO;1200385
201512;AC;RIO BRANCO;1200401
201512;AC;RIO BRANCO;1200401
201512;AC;RIO BRANCO;1200401
201512;AC;RIO BRANCO;1200401
201512;AC;RIO BRANCO;1200401
201512;AC;RIO BRANCO;1200401
201512;AC;RIO BRANCO;1200401
201512;AC;RIO BRANCO;1200401
201512;AC;RIO BRANCO;1200401
201512;AC;RIO BRANCO;1200401
201512;AC;RIO BRANCO;1200401
201512;AC;SENA MADUREIRA;1200500
201512;AC;SENADOR GUIOMARD;1200450
201512;AC;TARAUACA;1200609
201512;AC;XAPURI;1200708
201512;AL;AGUA BRANCA;2700102
201512;AL;ARAPIRACA;2700300
201512;AL;ARAPIRACA;2700300
201512;AL;ATALAIA;2700409
201512;AL;BATALHA;2700706
201512;AL;BOCA DA MATA;2701001
201512;AL;CAMPO ALEGRE;2701407
201512;AL;CANAPI;2701605
201512;AL;COLONIA LEOPOLDINA;2702108
201512;AL;CORURIPE;2702306
201512;AL;DELMIRO GOUVEIA;2702405
201512;AL;FEIRA GRANDE;2702603
201512;AL;GIRAU DO PONCIANO;2702900
201512;AL;IGACI;2703106
201512;AL;IGREJA NOVA;2703205
201512;AL;JUNQUEIRO;2704005
201512;AL;LIMOEIRO DE ANADIA;2704203
201512;AL;MACEIO;2704302
201512;AL;MACEIO;2704302
201512;AL;MACEIO;2704302
201512;AL;MACEIO;2704302
201512;AL;MACEIO;2704302
201512;AL;MACEIO;2704302
201512;AL;MACEIO;2704302
201512;AL;MACEIO;2704302
201512;AL;MACEIO;2704302
201512;AL;MACEIO;2704302
201512;AL;MACEIO;2704302
201512;AL;MACEIO;2704302
201512;AL;MACEIO;2704302
201512;AL;MACEIO;2704302
201512;AL;MACEIO;2704302
201512;AL;MACEIO;2704302
201512;AL;MACEIO;2704302
201512;AL;MACEIO;2704302
201512;AL;MACEIO;2704302
201512;AL;MAJOR ISIDORO;2704401
201512;AL;MARAGOGI;2704500
201512;AL;MARAVILHA;2704609
201512;AL;MARECHAL DEODORO;2704708
201512;AL;MATA GRANDE;2705002
201512;AL;MATRIZ DE CAMARAGIBE;2705101
201512;AL;MURICI;2705507
201512;AL;NOVO LINO;2705606
201512;AL;OLHO D'AGUA DAS FLORES;2705705
201512;AL;PALMEIRA DOS INDIOS;2706307
201512;AL;PAO DE ACUCAR;2706406
201512;AL;PENEDO;2706703
201512;AL;PIACABUCU;2706802
201512;AL;PILAR;2706901
201512;AL;PORTO CALVO;2707305
201512;AL;QUEBRANGULO;2707602
201512;AL;RIO LARGO;2707701
201512;AL;SANTANA DO IPANEMA;2708006
201512;AL;SAO JOSE DA LAJE;2708303
201512;AL;SAO JOSE DA TAPERA;2708402
201512;AL;SAO LUIS DO QUITUNDE;2708501
201512;AL;SAO MIGUEL DOS CAMPOS;2708600
201512;AL;SAO SEBASTIAO;2708808
201512;AL;TAQUARANA;2709103
201512;AL;TEOTONIO VILELA;2709152
201512;AL;UNIAO DOS PALMARES;2709301
201512;AL;VICOSA;2709400
201512;AM;AUTAZES;1300300
201512;AM;BARCELOS;1300409
201512;AM;BOCA DO ACRE;1300706
201512;AM;BORBA;1300805
201512;AM;CARAUARI;1301001
201512;AM;COARI;1301209
201512;AM;EIRUNEPE;1301407
201512;AM;HUMAITA;1301704
201512;AM;IRANDUBA;1301852
201512;AM;ITACOATIARA;1301902
201512;AM;LABREA;1302405
201512;AM;MANACAPURU;1302504
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANAUS;1302603
201512;AM;MANICORE;1302702
201512;AM;MAUES;1302900
201512;AM;PARINTINS;1303403
201512;AM;PRESIDENTE FIGUEIREDO;1303536
201512;AM;RIO PRETO DA EVA;1303569
201512;AM;SAO GABRIEL DA CACHOEIRA;1303809
201512;AM;TABATINGA;1304062
201512;AM;TEFE;1304203
201512;AP;AMAPA;1600105
201512;AP;LARANJAL DO JARI;1600279
201512;AP;MACAPA;1600303
201512;AP;MACAPA;1600303
201512;AP;MACAPA;1600303
201512;AP;MACAPA;1600303
201512;AP;MACAPA;1600303
201512;AP;MACAPA;1600303
201512;AP;MACAPA;1600303
201512;AP;MACAPA;1600303
201512;AP;MACAPA;1600303
201512;AP;MACAPA;1600303
201512;AP;MACAPA;1600303
201512;AP;MACAPA;1600303
201512;AP;OIAPOQUE;1600501
201512;AP;PEDRA BRANCA DO AMAPARI;1600154
201512;AP;PORTO GRANDE;1600535
201512;AP;SANTANA;1600600
201512;BA;ACAJUTIBA;2900306
201512;BA;ADUSTINA;2900355
201512;BA;AGUA FRIA;2900405
201512;BA;ALAGOINHAS;2900702
201512;BA;ALAGOINHAS;2900702
201512;BA;ALCOBACA;2900801
201512;BA;AMARGOSA;2901007
201512;BA;AMELIA RODRIGUES;2901106
201512;BA;AMERICA DOURADA;2901155
201512;BA;ANAGE;2901205
201512;BA;ANGICAL;2901403
201512;BA;ANTAS;2901601
201512;BA;APORA;2901908
201512;BA;ARACI;2902104
201512;BA;BAIANOPOLIS;2902500
201512;BA;BAIXA GRANDE;2902609
201512;BA;BARRA;2902708
201512;BA;BARRA DA ESTIVA;2902807
201512;BA;BARRA DO CHOCA;2902906
201512;BA;BARRA DO MENDES;2903003
201512;BA;BARREIRAS;2903201
201512;BA;BARREIRAS;2903201
201512;BA;BARREIRAS;2903201
201512;BA;BARREIRAS;2903201
201512;BA;BELMONTE;2903409
201512;BA;BELO CAMPO;2903508
201512;BA;BIRITINGA;2903607
201512;BA;BOA NOVA;2903706
201512;BA;BOA VISTA DO TUPIM;2903805
201512;BA;BOM JESUS DA LAPA;2903904
201512;BA;BONINAL;2904001
201512;BA;BOTUPORA;2904209
201512;BA;BREJOES;2904308
201512;BA;BRUMADO;2904605
201512;BA;BUERAREMA;2904704
201512;BA;CACHOEIRA;2904902
201512;BA;CACULE;2905008
201512;BA;CAEM;2905107
201512;BA;CAETITE;2905206
201512;BA;CAFARNAUM;2905305
201512;BA;CAMACAN;2905602
201512;BA;CAMACARI;2905701
201512;BA;CAMACARI;2905701
201512;BA;CAMACARI;2905701
201512;BA;CAMAMU;2905800
201512;BA;CAMPO ALEGRE DE LOURDES;2905909
201512;BA;CAMPO FORMOSO;2906006
201512;BA;CANAVIEIRAS;2906303
201512;BA;CANDEAL;2906402
201512;BA;CANDEIAS;2906501
201512;BA;CANDIBA;2906600
201512;BA;CANDIDO SALES;2906709
201512;BA;CAPIM GROSSO;2906873
201512;BA;CARAVELAS;2906907
201512;BA;CARINHANHA;2907103
201512;BA;CASA NOVA;2907202
201512;BA;CASTRO ALVES;2907301
201512;BA;CATU;2907509
201512;BA;CENTRAL;2907608
201512;BA;CICERO DANTAS;2907806
201512;BA;CIPO;2907905
201512;BA;COARACI;2908002
201512;BA;COCOS;2908101
201512;BA;CONCEICAO DA FEIRA;2908200
201512;BA;CONCEICAO DO ALMEIDA;2908309
201512;BA;CONCEICAO DO COITE;2908408
201512;BA;CONCEICAO DO JACUIPE;2908507
201512;BA;CONDE;2908606
201512;BA;CONDEUBA;2908705
201512;BA;CORACAO DE MARIA;2908903
201512;BA;CORONEL JOAO SA;2909208
201512;BA;CORRENTINA;2909307
201512;BA;CRISOPOLIS;2909604
201512;BA;CRUZ DAS ALMAS;2909802
201512;BA;CURACA;2909901
201512;BA;DIAS D'AVILA;2910057
201512;BA;ENTRE RIOS;2910503
201512;BA;ESPLANADA;2910602
201512;BA;EUCLIDES DA CUNHA;2910701
201512;BA;EUNAPOLIS;2910727
201512;BA;FEIRA DE SANTANA;2910800
201512;BA;FEIRA DE SANTANA;2910800
201512;BA;FEIRA DE SANTANA;2910800
201512;BA;FEIRA DE SANTANA;2910800
201512;BA;FEIRA DE SANTANA;2910800
201512;BA;FEIRA DE SANTANA;2910800
201512;BA;FEIRA DE SANTANA;2910800
201512;BA;FORMOSA DO RIO PRETO;2911105
201512;BA;GANDU;2911204
201512;BA;GOVERNADOR MANGABEIRA;2911600
201512;BA;GUANAMBI;2911709
201512;BA;GUARATINGA;2911808
201512;BA;IACU;2911907
201512;BA;IBIASSUCE;2912004
201512;BA;IBICARAI;2912103
201512;BA;IBICUI;2912301
201512;BA;IBIRAPITANGA;2912707
201512;BA;IBIRAPUA;2912806
201512;BA;IBIRATAIA;2912905
201512;BA;IBITITA;2913101
201512;BA;IBOTIRAMA;2913200
201512;BA;IGUAI;2913507
201512;BA;ILHEUS;2913606
201512;BA;ILHEUS;2913606
201512;BA;ILHEUS;2913606
201512;BA;INHAMBUPE;2913705
201512;BA;IPIAU;2913903
201512;BA;IPIRA;2914000
201512;BA;IPUPIARA;2914109
201512;BA;IRAQUARA;2914406
201512;BA;IRARA;2914505
201512;BA;IRECE;2914604
201512;BA;ITABELA;2914653
201512;BA;ITABERABA;2914703
201512;BA;ITABUNA;2914802
201512;BA;ITABUNA;2914802
201512;BA;ITABUNA;2914802
201512;BA;ITACARE;2914901
201512;BA;ITAGI;2915106
201512;BA;ITAGIBA;2915205
201512;BA;ITAJUIPE;2915502
201512;BA;ITAMARAJU;2915601
201512;BA;ITAMBE;2915809
201512;BA;ITANHEM;2916005
201512;BA;ITAPE;2916203
201512;BA;ITAPETINGA;2916401
201512;BA;ITAPICURU;2916500
201512;BA;ITAPITANGA;2916609
201512;BA;ITARANTIM;2916807
201512;BA;ITIUBA;2917003
201512;BA;ITORORO;2917102
201512;BA;ITUBERA;2917300
201512;BA;IUIU;2917334
201512;BA;JACARACI;2917409
201512;BA;JACOBINA;2917508
201512;BA;JAGUAQUARA;2917607
201512;BA;JAGUARARI;2917706
201512;BA;JAGUARARI;2917706
201512;BA;JEQUIE;2918001
201512;BA;JEREMOABO;2918100
201512;BA;JITAUNA;2918308
201512;BA;JOAO DOURADO;2918357
201512;BA;JUAZEIRO;2918407
201512;BA;JUAZEIRO;2918407
201512;BA;JUAZEIRO;2918407
201512;BA;JUSSARA;2918506
201512;BA;LAJE;2918803
201512;BA;LAPAO;2919157
201512;BA;LAURO DE FREITAS;2919207
201512;BA;LAURO DE FREITAS;2919207
201512;BA;LAURO DE FREITAS;2919207
201512;BA;LENCOIS;2919306
201512;BA;LICINIO DE ALMEIDA;2919405
201512;BA;LIVRAMENTO DE NOSSA SENHORA;2919504
201512;BA;LUIS EDUARDO MAGALHAES;2919553
201512;BA;LUIS EDUARDO MAGALHAES;2919553
201512;BA;MACARANI;2919702
201512;BA;MACAUBAS;2919801
201512;BA;MADRE DE DEUS;2919926
201512;BA;MAIRI;2920106
201512;BA;MALHADA;2920205
201512;BA;MARACAS;2920502
201512;BA;MARAGOGIPE;2920601
201512;BA;MATA DE SAO JOAO;2921005
201512;BA;MATA DE SAO JOAO;2921005
201512;BA;MEDEIROS NETO;2921104
201512;BA;MIGUEL CALMON;2921203
201512;BA;MIRANGABA;2921401
201512;BA;MONTE SANTO;2921500
201512;BA;MORRO DO CHAPEU;2921708
201512;BA;MORTUGABA;2921807
201512;BA;MUCUGE;2921906
201512;BA;MUCURI;2922003
201512;BA;MUNDO NOVO;2922102
201512;BA;MURITIBA;2922300
201512;BA;MUTUIPE;2922409
201512;BA;NAZARE;2922508
201512;BA;NOVA CANAA;2922706
201512;BA;NOVA SOURE;2922904
201512;BA;NOVA VICOSA;2923001
201512;BA;OLINDINA;2923100
201512;BA;OLIVEIRA DOS BREJINHOS;2923209
201512;BA;PARAMIRIM;2923605
201512;BA;PARATINGA;2923704
201512;BA;PARIPIRANGA;2923803
201512;BA;PAULO AFONSO;2924009
201512;BA;PAULO AFONSO;2924009
201512;BA;PILAO ARCADO;2924405
201512;BA;PINDOBACU;2924603
201512;BA;PIRITIBA;2924801
201512;BA;PLANALTO;2925006
201512;BA;POCOES;2925105
201512;BA;POJUCA;2925204
201512;BA;PONTO NOVO;2925253
201512;BA;PORTO SEGURO;2925303
201512;BA;PORTO SEGURO;2925303
201512;BA;PRADO;2925501
201512;BA;PRESIDENTE DUTRA;2925600
201512;BA;QUEIMADAS;2925808
201512;BA;REMANSO;2926004
201512;BA;RIACHAO DAS NEVES;2926202
201512;BA;RIACHAO DO JACUIPE;2926301
201512;BA;RIACHO DE SANTANA;2926400
201512;BA;RIBEIRA DO AMPARO;2926509
201512;BA;RIBEIRA DO POMBAL;2926608
201512;BA;RIO DE CONTAS;2926707
201512;BA;RIO DO ANTONIO;2926806
201512;BA;RIO REAL;2927002
201512;BA;RUY BARBOSA;2927200
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SALVADOR;2927408
201512;BA;SANTA BARBARA;2927507
201512;BA;SANTA CRUZ CABRALIA;2927705
201512;BA;SANTA MARIA DA VITORIA;2928109
201512;BA;SANTA RITA DE CASSIA;2928406
201512;BA;SANTALUZ;2928000
201512;BA;SANTANA;2928208
201512;BA;SANTO AMARO;2928604
201512;BA;SANTO ANTONIO DE JESUS;2928703
201512;BA;SANTO ESTEVAO;2928802
201512;BA;SAO DESIDERIO;2928901
201512;BA;SAO DESIDERIO;2928901
201512;BA;SAO FELIPE;2929107
201512;BA;SAO FELIX;2929008
201512;BA;SAO FRANCISCO DO CONDE;2929206
201512;BA;SAO FRANCISCO DO CONDE;2929206
201512;BA;SAO GONCALO DOS CAMPOS;2929305
201512;BA;SAO SEBASTIAO DO PASSE;2929503
201512;BA;SAPEACU;2929602
201512;BA;SATIRO DIAS;2929701
201512;BA;SAUDE;2929800
201512;BA;SEABRA;2929909
201512;BA;SENHOR DO BONFIM;2930105
201512;BA;SENTO SE;2930204
201512;BA;SERRA DO RAMALHO;2930154
201512;BA;SERRA DOURADA;2930303
201512;BA;SERRINHA;2930501
201512;BA;SERROLANDIA;2930600
201512;BA;SIMOES FILHO;2930709
201512;BA;SIMOES FILHO;2930709
201512;BA;SOBRADINHO;2930774
201512;BA;TANHACU;2931004
201512;BA;TANQUE NOVO;2931053
201512;BA;TANQUINHO;2931103
201512;BA;TAPEROA;2931202
201512;BA;TEIXEIRA DE FREITAS;2931350
201512;BA;TEIXEIRA DE FREITAS;2931350
201512;BA;TEODORO SAMPAIO;2931400
201512;BA;TREMEDAL;2931806
201512;BA;TUCANO;2931905
201512;BA;UAUA;2932002
201512;BA;UBAIRA;2932101
201512;BA;UBAITABA;2932200
201512;BA;UBATA;2932309
201512;BA;UIBAI;2932408
201512;BA;UNA;2932507
201512;BA;URANDI;2932606
201512;BA;URUCUCA;2932705
201512;BA;UTINGA;2932804
201512;BA;VALENCA;2932903
201512;BA;VALENTE;2933000
201512;BA;VERA CRUZ;2933208
201512;BA;VITORIA DA CONQUISTA;2933307
201512;BA;VITORIA DA CONQUISTA;2933307
201512;BA;VITORIA DA CONQUISTA;2933307
201512;BA;VITORIA DA CONQUISTA;2933307
201512;BA;VITORIA DA CONQUISTA;2933307
201512;BA;WANDERLEY;2933455
201512;BA;WENCESLAU GUIMARAES;2933505
201512;BA;XIQUE-XIQUE;2933604
201512;CE;ACARAU;2300200
201512;CE;ACOPIARA;2300309
201512;CE;AIUABA;2300408
201512;CE;AMONTADA;2300754
201512;CE;AQUIRAZ;2301000
201512;CE;ARACATI;2301109
201512;CE;ARACOIABA;2301208
201512;CE;ARARIPE;2301307
201512;CE;ASSARE;2301604
201512;CE;AURORA;2301703
201512;CE;BANABUIU;2301851
201512;CE;BARBALHA;2301901
201512;CE;BARRO;2302008
201512;CE;BATURITE;2302107
201512;CE;BEBERIBE;2302206
201512;CE;BELA CRUZ;2302305
201512;CE;BOA VIAGEM;2302404
201512;CE;BREJO SANTO;2302503
201512;CE;CAMOCIM;2302602
201512;CE;CAMPOS SALES;2302701
201512;CE;CANINDE;2302800
201512;CE;CARIRIACU;2303204
201512;CE;CARIUS;2303303
201512;CE;CASCAVEL;2303501
201512;CE;CATARINA;2303600
201512;CE;CAUCAIA;2303709
201512;CE;CAUCAIA;2303709
201512;CE;CAUCAIA;2303709
201512;CE;CEDRO;2303808
201512;CE;COREAU;2304004
201512;CE;CRATEUS;2304103
201512;CE;CRATO;2304202
201512;CE;EUSEBIO;2304285
201512;CE;FARIAS BRITO;2304301
201512;CE;FORQUILHA;2304350
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
201512;CE;FORTALEZA;2304400
