Ano;UF;MUNICIPIO;CODMUN_IBGE
201912;AC;ACRELANDIA;1200013
201912;AC;BRASILEIA;1200104
201912;AC;CRUZEIRO DO SUL;1200203
201912;AC;CRUZEIRO DO SUL;1200203
201912;AC;EPITACIOLANDIA;1200252
201912;AC;FEIJO;1200302
201912;AC;MANCIO LIMA;1200336
201912;AC;PLACIDO DE CASTRO;1200385
201912;AC;RIO BRANCO;1200401
201912;AC;RIO BRANCO;1200401
201912;AC;RIO BRANCO;1200401
201912;AC;RIO BRANCO;1200401
201912;AC;RIO BRANCO;1200401
201912;AC;RIO BRANCO;1200401
201912;AC;RIO BRANCO;1200401
201912;AC;RIO BRANCO;1200401
201912;AC;RIO BRANCO;1200401
201912;AC;RIO BRANCO;1200401
201912;AC;SENA MADUREIRA;1200500
201912;AC;SENADOR GUIOMARD;1200450
201912;AC;TARAUACA;1200609
201912;AC;XAPURI;1200708
201912;AL;AGUA BRANCA;2700102
201912;AL;ARAPIRACA;2700300
201912;AL;ARAPIRACA;2700300
201912;AL;ATALAIA;2700409
201912;AL;BATALHA;2700706
201912;AL;BOCA DA MATA;2701001
201912;AL;CAMPO ALEGRE;2701407
201912;AL;CORURIPE;2702306
201912;AL;DELMIRO GOUVEIA;2702405
201912;AL;GIRAU DO PONCIANO;2702900
201912;AL;IGACI;2703106
201912;AL;LIMOEIRO DE ANADIA;2704203
201912;AL;MACEIO;2704302
201912;AL;MACEIO;2704302
201912;AL;MACEIO;2704302
201912;AL;MACEIO;2704302
201912;AL;MACEIO;2704302
201912;AL;MACEIO;2704302
201912;AL;MACEIO;2704302
201912;AL;MACEIO;2704302
201912;AL;MACEIO;2704302
201912;AL;MACEIO;2704302
201912;AL;MACEIO;2704302
201912;AL;MACEIO;2704302
201912;AL;MACEIO;2704302
201912;AL;MACEIO;2704302
201912;AL;MACEIO;2704302
201912;AL;MACEIO;2704302
201912;AL;MACEIO;2704302
201912;AL;MAJOR ISIDORO;2704401
201912;AL;MARAGOGI;2704500
201912;AL;MURICI;2705507
201912;AL;PALMEIRA DOS INDIOS;2706307
201912;AL;PAO DE ACUCAR;2706406
201912;AL;PENEDO;2706703
201912;AL;PILAR;2706901
201912;AL;PORTO CALVO;2707305
201912;AL;RIO LARGO;2707701
201912;AL;SANTANA DO IPANEMA;2708006
201912;AL;SAO JOSE DA LAJE;2708303
201912;AL;SAO JOSE DA TAPERA;2708402
201912;AL;SAO LUIS DO QUITUNDE;2708501
201912;AL;SAO MIGUEL DOS CAMPOS;2708600
201912;AL;SAO SEBASTIAO;2708808
201912;AL;TAQUARANA;2709103
201912;AL;TEOTONIO VILELA;2709152
201912;AL;UNIAO DOS PALMARES;2709301
201912;AL;VICOSA;2709400
201912;AM;AUTAZES;1300300
201912;AM;BARCELOS;1300409
201912;AM;BOCA DO ACRE;1300706
201912;AM;BORBA;1300805
201912;AM;CARAUARI;1301001
201912;AM;COARI;1301209
201912;AM;EIRUNEPE;1301407
201912;AM;HUMAITA;1301704
201912;AM;ITACOATIARA;1301902
201912;AM;LABREA;1302405
201912;AM;MANACAPURU;1302504
201912;AM;MANAUS;1302603
201912;AM;MANAUS;1302603
201912;AM;MANAUS;1302603
201912;AM;MANAUS;1302603
201912;AM;MANAUS;1302603
201912;AM;MANAUS;1302603
201912;AM;MANAUS;1302603
201912;AM;MANAUS;1302603
201912;AM;MANAUS;1302603
201912;AM;MANAUS;1302603
201912;AM;MANAUS;1302603
201912;AM;MANAUS;1302603
