CodMun;REGIAO;COD UF;UF;NOME MUNIC;POP EST;CLASSE POP
1300201;1 - Norte;13;AM;Atalaia do Norte;17658;3 - 10001 até 20000
1300300;1 - Norte;13;AM;Autazes;36301;4 - 20001 até 50000
1300409;1 - Norte;13;AM;Barcelos;27273;4 - 20001 até 50000
1300508;1 - Norte;13;AM;Barreirinha;30202;4 - 20001 até 50000
1300607;1 - Norte;13;AM;Benjamin Constant;38533;4 - 20001 até 50000
1300631;1 - Norte;13;AM;Beruri;17755;3 - 10001 até 20000
1300680;1 - Norte;13;AM;Boa Vista do Ramos;17248;3 - 10001 até 20000
1300706;1 - Norte;13;AM;Boca do Acre;33148;4 - 20001 até 50000
1300805;1 - Norte;13;AM;Borba;38688;4 - 20001 até 50000
1300839;1 - Norte;13;AM;Caapiranga;12214;3 - 10001 até 20000
1300904;1 - Norte;13;AM;Canutama;14944;3 - 10001 até 20000
1301001;1 - Norte;13;AM;Carauari;27645;4 - 20001 até 50000
1301100;1 - Norte;13;AM;Careiro;35938;4 - 20001 até 50000
1301159;1 - Norte;13;AM;Careiro da Várzea;27357;4 - 20001 até 50000
1301209;1 - Norte;13;AM;Coari;82209;5 - 50001 até 100000
1301308;1 - Norte;13;AM;Codajás;26242;4 - 20001 até 50000
1301407;1 - Norte;13;AM;Eirunepé;33580;4 - 20001 até 50000
1301506;1 - Norte;13;AM;Envira;18422;3 - 10001 até 20000
1301605;1 - Norte;13;AM;Fonte Boa;21295;4 - 20001 até 50000
1301654;1 - Norte;13;AM;Guajará;15561;3 - 10001 até 20000
1301704;1 - Norte;13;AM;Humaitá;50230;5 - 50001 até 100000
1301803;1 - Norte;13;AM;Ipixuna;26118;4 - 20001 até 50000
1301852;1 - Norte;13;AM;Iranduba;45250;4 - 20001 até 50000
1301902;1 - Norte;13;AM;Itacoatiara;95714;5 - 50001 até 100000
1301951;1 - Norte;13;AM;Itamarati;8205;2 - 5001 até 10000
1302009;1 - Norte;13;AM;Itapiranga;8864;2 - 5001 até 10000
1302108;1 - Norte;13;AM;Japurá;5599;2 - 5001 até 10000
1302207;1 - Norte;13;AM;Juruá;12807;3 - 10001 até 20000
1302306;1 - Norte;13;AM;Jutaí;16977;3 - 10001 até 20000
1302405;1 - Norte;13;AM;Lábrea;42439;4 - 20001 até 50000
1302504;1 - Norte;13;AM;Manacapuru;92996;5 - 50001 até 100000
1302553;1 - Norte;13;AM;Manaquiri;27480;4 - 20001 até 50000
1302603;1 - Norte;13;AM;Manaus;2020301;7 - Maior que 500000
1302702;1 - Norte;13;AM;Manicoré;52200;5 - 50001 até 100000
1302801;1 - Norte;13;AM;Maraã;18367;3 - 10001 até 20000
1302900;1 - Norte;13;AM;Maués;58834;5 - 50001 até 100000
1303007;1 - Norte;13;AM;Nhamundá;20078;4 - 20001 até 50000
1303106;1 - Norte;13;AM;Nova Olinda do Norte;34498;4 - 20001 até 50000
1303205;1 - Norte;13;AM;Novo Airão;17199;3 - 10001 até 20000
1303304;1 - Norte;13;AM;Novo Aripuanã;23905;4 - 20001 até 50000
1303403;1 - Norte;13;AM;Parintins;110411;6 - 100001 até 500000
1303502;1 - Norte;13;AM;Pauini;19265;3 - 10001 até 20000
1303536;1 - Norte;13;AM;Presidente Figueiredo;31903;4 - 20001 até 50000
1303569;1 - Norte;13;AM;Rio Preto da Eva;29771;4 - 20001 até 50000
1303601;1 - Norte;13;AM;Santa Isabel do Rio Negro;21702;4 - 20001 até 50000
1303700;1 - Norte;13;AM;Santo Antônio do Içá;24005;4 - 20001 até 50000
1303809;1 - Norte;13;AM;São Gabriel da Cachoeira;42342;4 - 20001 até 50000
1303908;1 - Norte;13;AM;São Paulo de Olivença;35757;4 - 20001 até 50000
1303957;1 - Norte;13;AM;São Sebastião do Uatumã;12451;3 - 10001 até 20000
1304005;1 - Norte;13;AM;Silves;9014;2 - 5001 até 10000
1304062;1 - Norte;13;AM;Tabatinga;59684;5 - 50001 até 100000
1304104;1 - Norte;13;AM;Tapauá;18266;3 - 10001 até 20000
1304203;1 - Norte;13;AM;Tefé;62662;5 - 50001 até 100000
1304237;1 - Norte;13;AM;Tonantins;18322;3 - 10001 até 20000
1304260;1 - Norte;13;AM;Uarini;12963;3 - 10001 até 20000
1304302;1 - Norte;13;AM;Urucará;17264;3 - 10001 até 20000
1304401;1 - Norte;13;AM;Urucurituba;20621;4 - 20001 até 50000
1400027;1 - Norte;14;RR;Amajari;10721;3 - 10001 até 20000
1400050;1 - Norte;14;RR;Alto Alegre;16301;3 - 10001 até 20000
1400100;1 - Norte;14;RR;Boa Vista;314900;6 - 100001 até 500000
1400159;1 - Norte;14;RR;Bonfim;11632;3 - 10001 até 20000
1400175;1 - Norte;14;RR;Cantá;15774;3 - 10001 até 20000
1400209;1 - Norte;14;RR;Caracaraí;19981;3 - 10001 até 20000
1400233;1 - Norte;14;RR;Caroebe;8997;2 - 5001 até 10000
1400282;1 - Norte;14;RR;Iracema;10043;3 - 10001 até 20000
1400308;1 - Norte;14;RR;Mucajaí;16137;3 - 10001 até 20000
1400407;1 - Norte;14;RR;Normandia;9953;2 - 5001 até 10000
1400456;1 - Norte;14;RR;Pacaraima;11667;3 - 10001 até 20000
1400472;1 - Norte;14;RR;Rorainópolis;26811;4 - 20001 até 50000
1400506;1 - Norte;14;RR;São João da Baliza;7401;2 - 5001 até 10000
1400605;1 - Norte;14;RR;São Luiz;7309;2 - 5001 até 10000
1400704;1 - Norte;14;RR;Uiramutã;9309;2 - 5001 até 10000
1500107;1 - Norte;15;PA;Abaetetuba;148873;6 - 100001 até 500000
1500131;1 - Norte;15;PA;Abel Figueiredo;7070;2 - 5001 até 10000
1500206;1 - Norte;15;PA;Acará;54047;5 - 50001 até 100000
1500305;1 - Norte;15;PA;Afuá;37004;4 - 20001 até 50000
1500347;1 - Norte;15;PA;Água Azul do Norte;26105;4 - 20001 até 50000
1500404;1 - Norte;15;PA;Alenquer;54353;5 - 50001 até 100000
1500503;1 - Norte;15;PA;Almeirim;33466;4 - 20001 até 50000
1500602;1 - Norte;15;PA;Altamira;106768;6 - 100001 até 500000
1500701;1 - Norte;15;PA;Anajás;27051;4 - 20001 até 50000
1500800;1 - Norte;15;PA;Ananindeua;499776;6 - 100001 até 500000
1500859;1 - Norte;15;PA;Anapu;24525;4 - 20001 até 50000
1500909;1 - Norte;15;PA;Augusto Corrêa;43154;4 - 20001 até 50000
1500958;1 - Norte;15;PA;Aurora do Pará;28974;4 - 20001 até 50000
1501006;1 - Norte;15;PA;Aveiro;15956;3 - 10001 até 20000
1501105;1 - Norte;15;PA;Bagre;27491;4 - 20001 até 50000
1501204;1 - Norte;15;PA;Baião;42513;4 - 20001 até 50000
1501253;1 - Norte;15;PA;Bannach;3303;1 - Até 5000
1501303;1 - Norte;15;PA;Barcarena;112921;6 - 100001 até 500000
1501402;1 - Norte;15;PA;Belém;1432844;7 - Maior que 500000
1501451;1 - Norte;15;PA;Belterra;16924;3 - 10001 até 20000
1501501;1 - Norte;15;PA;Benevides;57393;5 - 50001 até 100000
1501576;1 - Norte;15;PA;Bom Jesus do Tocantins;16074;3 - 10001 até 20000
1501600;1 - Norte;15;PA;Bonito;14990;3 - 10001 até 20000
1501709;1 - Norte;15;PA;Bragança;120124;6 - 100001 até 500000
1501725;1 - Norte;15;PA;Brasil Novo;15139;3 - 10001 até 20000
1501758;1 - Norte;15;PA;Brejo Grande do Araguaia;7258;2 - 5001 até 10000
1501782;1 - Norte;15;PA;Breu Branco;59651;5 - 50001 até 100000
1501808;1 - Norte;15;PA;Breves;97351;5 - 50001 até 100000
1501907;1 - Norte;15;PA;Bujaru;27349;4 - 20001 até 50000
1501956;1 - Norte;15;PA;Cachoeira do Piriá;30430;4 - 20001 até 50000
1502004;1 - Norte;15;PA;Cachoeira do Arari;22100;4 - 20001 até 50000
1502103;1 - Norte;15;PA;Cametá;129161;6 - 100001 até 500000
1502152;1 - Norte;15;PA;Canaã dos Carajás;32366;4 - 20001 até 50000
1502202;1 - Norte;15;PA;Capanema;65932;5 - 50001 até 100000
1502301;1 - Norte;15;PA;Capitão Poço;52616;5 - 50001 até 100000
1502400;1 - Norte;15;PA;Castanhal;186895;6 - 100001 até 500000
1502509;1 - Norte;15;PA;Chaves;22302;4 - 20001 até 50000
1502608;1 - Norte;15;PA;Colares;11641;3 - 10001 até 20000
1502707;1 - Norte;15;PA;Conceição do Araguaia;46302;4 - 20001 até 50000
1502756;1 - Norte;15;PA;Concórdia do Pará;30801;4 - 20001 até 50000
1502764;1 - Norte;15;PA;Cumaru do Norte;12069;3 - 10001 até 20000
1502772;1 - Norte;15;PA;Curionópolis;17844;3 - 10001 até 20000
1502806;1 - Norte;15;PA;Curralinho;31591;4 - 20001 até 50000
1502855;1 - Norte;15;PA;Curuá;13333;3 - 10001 até 20000
1502905;1 - Norte;15;PA;Curuçá;37188;4 - 20001 até 50000
1502939;1 - Norte;15;PA;Dom Eliseu;55513;5 - 50001 até 100000
1502954;1 - Norte;15;PA;Eldorado do Carajás;32544;4 - 20001 até 50000
1503002;1 - Norte;15;PA;Faro;7504;2 - 5001 até 10000
1503044;1 - Norte;15;PA;Floresta do Araguaia;19005;3 - 10001 até 20000
1503077;1 - Norte;15;PA;Garrafão do Norte;25307;4 - 20001 até 50000
1503093;1 - Norte;15;PA;Goianésia do Pará;37249;4 - 20001 até 50000
1503101;1 - Norte;15;PA;Gurupá;31182;4 - 20001 até 50000
1503200;1 - Norte;15;PA;Igarapé-Açu;37112;4 - 20001 até 50000
1503309;1 - Norte;15;PA;Igarapé-Miri;59998;5 - 50001 até 100000
1503408;1 - Norte;15;PA;Inhangapi;10876;3 - 10001 até 20000
1503457;1 - Norte;15;PA;Ipixuna do Pará;56613;5 - 50001 até 100000
1503507;1 - Norte;15;PA;Irituia;31644;4 - 20001 até 50000
1503606;1 - Norte;15;PA;Itaituba;98405;5 - 50001 até 100000
1503705;1 - Norte;15;PA;Itupiranga;51743;5 - 50001 até 100000
1503754;1 - Norte;15;PA;Jacareacanga;41487;4 - 20001 até 50000
1503804;1 - Norte;15;PA;Jacundá;55204;5 - 50001 até 100000
1503903;1 - Norte;15;PA;Juruti;52755;5 - 50001 até 100000
1504000;1 - Norte;15;PA;Limoeiro do Ajuru;26961;4 - 20001 até 50000
1504059;1 - Norte;15;PA;Mãe do Rio;28800;4 - 20001 até 50000
1504109;1 - Norte;15;PA;Magalhães Barata;8260;2 - 5001 até 10000
1504208;1 - Norte;15;PA;Marabá;257062;6 - 100001 até 500000
1504307;1 - Norte;15;PA;Maracanã;28643;4 - 20001 até 50000
1504406;1 - Norte;15;PA;Marapanim;27262;4 - 20001 até 50000
1504422;1 - Norte;15;PA;Marituba;120305;6 - 100001 até 500000
1504455;1 - Norte;15;PA;Medicilândia;29444;4 - 20001 até 50000
1504505;1 - Norte;15;PA;Melgaço;26133;4 - 20001 até 50000
1504604;1 - Norte;15;PA;Mocajuba;28933;4 - 20001 até 50000
1504703;1 - Norte;15;PA;Moju;76096;5 - 50001 até 100000
1504752;1 - Norte;15;PA;Mojuí dos Campos;15341;3 - 10001 até 20000
1504802;1 - Norte;15;PA;Monte Alegre;56231;5 - 50001 até 100000
