Ano;UF;MUNICIPIO;CODMUN_IBGE
202112;AC;ACRELANDIA;1200013
202112;AC;BRASILEIA;1200104
202112;AC;CRUZEIRO DO SUL;1200203
202112;AC;EPITACIOLANDIA;1200252
202112;AC;PLACIDO DE CASTRO;1200385
202112;AC;RIO BRANCO;1200401
202112;AC;RIO BRANCO;1200401
202112;AC;RIO BRANCO;1200401
202112;AC;RIO BRANCO;1200401
202112;AC;RIO BRANCO;1200401
202112;AC;RIO BRANCO;1200401
202112;AC;RIO BRANCO;1200401
202112;AC;RIO BRANCO;1200401
202112;AC;RIO BRANCO;1200401
202112;AC;SENA MADUREIRA;1200500
202112;AC;SENADOR GUIOMARD;1200450
202112;AC;TARAUACA;1200609
202112;AL;AGUA BRANCA;2700102
202112;AL;ARAPIRACA;2700300
202112;AL;ARAPIRACA;2700300
202112;AL;ATALAIA;2700409
202112;AL;BOCA DA MATA;2701001
202112;AL;CORURIPE;2702306
202112;AL;DELMIRO GOUVEIA;2702405
202112;AL;GIRAU DO PONCIANO;2702900
202112;AL;IGACI;2703106
202112;AL;MACEIO;2704302
202112;AL;MACEIO;2704302
202112;AL;MACEIO;2704302
202112;AL;MACEIO;2704302
202112;AL;MACEIO;2704302
202112;AL;MACEIO;2704302
202112;AL;MACEIO;2704302
202112;AL;MACEIO;2704302
202112;AL;MACEIO;2704302
202112;AL;MACEIO;2704302
202112;AL;MACEIO;2704302
202112;AL;MACEIO;2704302
202112;AL;MACEIO;2704302
202112;AL;MACEIO;2704302
202112;AL;MACEIO;2704302
202112;AL;MACEIO;2704302
202112;AL;MAJOR ISIDORO;2704401
202112;AL;MARAGOGI;2704500
202112;AL;MURICI;2705507
202112;AL;PALMEIRA DOS INDIOS;2706307
202112;AL;PENEDO;2706703
202112;AL;RIO LARGO;2707701
202112;AL;SANTANA DO IPANEMA;2708006
202112;AL;SAO JOSE DA LAJE;2708303
202112;AL;SAO JOSE DA TAPERA;2708402
202112;AL;SAO LUIS DO QUITUNDE;2708501
202112;AL;SAO MIGUEL DOS CAMPOS;2708600
202112;AL;SAO SEBASTIAO;2708808
202112;AL;TAQUARANA;2709103
202112;AL;TEOTONIO VILELA;2709152
202112;AL;UNIAO DOS PALMARES;2709301
202112;AL;VICOSA;2709400
202112;AM;AUTAZES;1300300
202112;AM;BARCELOS;1300409
202112;AM;BOCA DO ACRE;1300706
202112;AM;BORBA;1300805
202112;AM;CARAUARI;1301001
202112;AM;COARI;1301209
202112;AM;EIRUNEPE;1301407
202112;AM;HUMAITA;1301704
202112;AM;ITACOATIARA;1301902
202112;AM;LABREA;1302405
202112;AM;MANACAPURU;1302504
202112;AM;MANAUS;1302603
202112;AM;MANAUS;1302603
202112;AM;MANAUS;1302603
202112;AM;MANAUS;1302603
202112;AM;MANAUS;1302603
202112;AM;MANAUS;1302603
202112;AM;MANAUS;1302603
202112;AM;MANAUS;1302603
202112;AM;MANAUS;1302603
202112;AM;MANAUS;1302603
202112;AM;MANAUS;1302603
202112;AM;MANAUS;1302603
202112;AM;MANAUS;1302603
202112;AM;MANAUS;1302603
202112;AM;MANAUS;1302603
202112;AM;MANAUS;1302603
202112;AM;MANAUS;1302603
202112;AM;MANAUS;1302603
202112;AM;MANAUS;1302603
202112;AM;MANAUS;1302603
202112;AM;MANAUS;1302603
202112;AM;MANICORE;1302702
202112;AM;MAUES;1302900
202112;AM;PARINTINS;1303403
202112;AM;PRESIDENTE FIGUEIREDO;1303536
202112;AM;SAO GABRIEL DA CACHOEIRA;1303809
202112;AM;TABATINGA;1304062
202112;AM;TEFE;1304203
202112;AP;AMAPA;1600105
202112;AP;LARANJAL DO JARI;1600279
202112;AP;MACAPA;1600303
202112;AP;MACAPA;1600303
202112;AP;MACAPA;1600303
202112;AP;MACAPA;1600303
202112;AP;MACAPA;1600303
202112;AP;MACAPA;1600303
202112;AP;MACAPA;1600303
202112;AP;MACAPA;1600303
202112;AP;MACAPA;1600303
202112;AP;MACAPA;1600303
202112;AP;MACAPA;1600303
202112;AP;OIAPOQUE;1600501
202112;AP;PEDRA BRANCA DO AMAPARI;1600154
202112;AP;PORTO GRANDE;1600535
202112;AP;SANTANA;1600600
202112;BA;ACAJUTIBA;2900306
202112;BA;ALAGOINHAS;2900702
202112;BA;ALAGOINHAS;2900702
202112;BA;AMARGOSA;2901007
202112;BA;AMELIA RODRIGUES;2901106
202112;BA;ANAGE;2901205
202112;BA;ANGICAL;2901403
202112;BA;ARACI;2902104
202112;BA;BAIANOPOLIS;2902500
202112;BA;BAIXA GRANDE;2902609
202112;BA;BARRA;2902708
202112;BA;BARRA DA ESTIVA;2902807
202112;BA;BARRA DO MENDES;2903003
202112;BA;BARREIRAS;2903201
202112;BA;BARREIRAS;2903201
202112;BA;BARREIRAS;2903201
202112;BA;BARREIRAS;2903201
202112;BA;BELMONTE;2903409
202112;BA;BELO CAMPO;2903508
202112;BA;BOM JESUS DA LAPA;2903904
202112;BA;BOTUPORA;2904209
202112;BA;BRUMADO;2904605
202112;BA;CAETITE;2905206
202112;BA;CAFARNAUM;2905305
202112;BA;CAMACAN;2905602
202112;BA;CAMACARI;2905701
202112;BA;CAMACARI;2905701
202112;BA;CAMACARI;2905701
202112;BA;CAMPO FORMOSO;2906006
202112;BA;CANAVIEIRAS;2906303
202112;BA;CANDEIAS;2906501
202112;BA;CANDIBA;2906600
202112;BA;CANDIDO SALES;2906709
202112;BA;CAPIM GROSSO;2906873
202112;BA;CARINHANHA;2907103
202112;BA;CASA NOVA;2907202
202112;BA;CASTRO ALVES;2907301
202112;BA;CATU;2907509
202112;BA;CICERO DANTAS;2907806
202112;BA;CIPO;2907905
202112;BA;COARACI;2908002
202112;BA;CONCEICAO DO COITE;2908408
202112;BA;CONCEICAO DO JACUIPE;2908507
202112;BA;CONDE;2908606
202112;BA;CONDEUBA;2908705
202112;BA;CORRENTINA;2909307
202112;BA;CRUZ DAS ALMAS;2909802
202112;BA;CURACA;2909901
202112;BA;DIAS D'AVILA;2910057
202112;BA;ENTRE RIOS;2910503
202112;BA;ESPLANADA;2910602
202112;BA;EUCLIDES DA CUNHA;2910701
202112;BA;EUNAPOLIS;2910727
202112;BA;FEIRA DE SANTANA;2910800
202112;BA;FEIRA DE SANTANA;2910800
202112;BA;FEIRA DE SANTANA;2910800
202112;BA;FEIRA DE SANTANA;2910800
202112;BA;FEIRA DE SANTANA;2910800
202112;BA;FEIRA DE SANTANA;2910800
202112;BA;FEIRA DE SANTANA;2910800
202112;BA;FORMOSA DO RIO PRETO;2911105
202112;BA;GANDU;2911204
202112;BA;GUANAMBI;2911709
202112;BA;IACU;2911907
202112;BA;IBIRATAIA;2912905
202112;BA;IBOTIRAMA;2913200
202112;BA;ILHEUS;2913606
202112;BA;ILHEUS;2913606
202112;BA;INHAMBUPE;2913705
202112;BA;IPIAU;2913903
202112;BA;IPIRA;2914000
202112;BA;IPUPIARA;2914109
202112;BA;IRARA;2914505
202112;BA;IRECE;2914604
202112;BA;ITABELA;2914653
202112;BA;ITABERABA;2914703
202112;BA;ITABUNA;2914802
202112;BA;ITABUNA;2914802
202112;BA;ITACARE;2914901
202112;BA;ITAGIBA;2915205
202112;BA;ITAJUIPE;2915502
202112;BA;ITAMARAJU;2915601
202112;BA;ITAMBE;2915809
202112;BA;ITANHEM;2916005
202112;BA;ITAPETINGA;2916401
202112;BA;ITAPICURU;2916500
202112;BA;ITARANTIM;2916807
202112;BA;ITIUBA;2917003
202112;BA;ITUBERA;2917300
202112;BA;JACOBINA;2917508
202112;BA;JAGUAQUARA;2917607
202112;BA;JAGUARARI;2917706
202112;BA;JEQUIE;2918001
202112;BA;JEREMOABO;2918100
202112;BA;JUAZEIRO;2918407
202112;BA;JUAZEIRO;2918407
202112;BA;LAPAO;2919157
202112;BA;LAURO DE FREITAS;2919207
202112;BA;LAURO DE FREITAS;2919207
202112;BA;LAURO DE FREITAS;2919207
202112;BA;LENCOIS;2919306
202112;BA;LICINIO DE ALMEIDA;2919405
202112;BA;LIVRAMENTO DE NOSSA SENHORA;2919504
202112;BA;LUIS EDUARDO MAGALHAES;2919553
202112;BA;MACARANI;2919702
202112;BA;MACAUBAS;2919801
202112;BA;MADRE DE DEUS;2919926
202112;BA;MARACAS;2920502
202112;BA;MARAGOGIPE;2920601
202112;BA;MATA DE SAO JOAO;2921005
202112;BA;MEDEIROS NETO;2921104
202112;BA;MIGUEL CALMON;2921203
202112;BA;MONTE SANTO;2921500
202112;BA;MORRO DO CHAPEU;2921708
202112;BA;MORTUGABA;2921807
202112;BA;MUCUGE;2921906
202112;BA;MUNDO NOVO;2922102
202112;BA;MUTUIPE;2922409
202112;BA;NAZARE;2922508
202112;BA;NOVA CANAA;2922706
202112;BA;NOVA SOURE;2922904
202112;BA;NOVA VICOSA;2923001
202112;BA;OLIVEIRA DOS BREJINHOS;2923209
202112;BA;PARAMIRIM;2923605
202112;BA;PARIPIRANGA;2923803
202112;BA;PAULO AFONSO;2924009
202112;BA;PAULO AFONSO;2924009
202112;BA;PILAO ARCADO;2924405
202112;BA;PINDOBACU;2924603
202112;BA;PIRITIBA;2924801
202112;BA;PLANALTO;2925006
202112;BA;POCOES;2925105
202112;BA;POJUCA;2925204
202112;BA;PORTO SEGURO;2925303
202112;BA;PORTO SEGURO;2925303
202112;BA;PRADO;2925501
202112;BA;PRESIDENTE DUTRA;2925600
202112;BA;REMANSO;2926004
202112;BA;RIACHAO DAS NEVES;2926202
202112;BA;RIACHAO DO JACUIPE;2926301
202112;BA;RIACHO DE SANTANA;2926400
202112;BA;RIBEIRA DO POMBAL;2926608
202112;BA;RIO DE CONTAS;2926707
202112;BA;RIO DO ANTONIO;2926806
202112;BA;RIO REAL;2927002
202112;BA;RUY BARBOSA;2927200
202112;BA;SALVADOR;2927408
202112;BA;SALVADOR;2927408
202112;BA;SALVADOR;2927408
202112;BA;SALVADOR;2927408
202112;BA;SALVADOR;2927408
202112;BA;SALVADOR;2927408
202112;BA;SALVADOR;2927408
202112;BA;SALVADOR;2927408
202112;BA;SALVADOR;2927408
202112;BA;SALVADOR;2927408
202112;BA;SALVADOR;2927408
202112;BA;SALVADOR;2927408
202112;BA;SALVADOR;2927408
202112;BA;SALVADOR;2927408
202112;BA;SALVADOR;2927408
202112;BA;SALVADOR;2927408
202112;BA;SALVADOR;2927408
202112;BA;SALVADOR;2927408
202112;BA;SALVADOR;2927408
202112;BA;SALVADOR;2927408
