Ano;UF;CODMUN;MUNICIPIO;CODMUN_IBGE
202012;BA;26424;BOM JESUS DA LAPA;2903904
202012;BA;39387;BOTUPORA;2904209
202012;BA;4147;BRUMADO;2904605
202012;BA;6822;CACULE;2905008
202012;BA;31969;CAETITE;2905206
202012;BA;18700;CAFARNAUM;2905305
202012;BA;36500;CAMACAN;2905602
202012;BA;23094;CAMACARI;2905701
202012;BA;23094;CAMACARI;2905701
202012;BA;23094;CAMACARI;2905701
202012;BA;14254;CAMAMU;2905800
202012;BA;4989;CAMPO ALEGRE DE LOURDES;2905909
202012;BA;1061;CAMPO FORMOSO;2906006
202012;BA;10007;CANAVIEIRAS;2906303
202012;BA;31921;CANDEIAS;2906501
202012;BA;23104;CANDIBA;2906600
202012;BA;14223;CANDIDO SALES;2906709
202012;BA;42501;CAPIM GROSSO;2906873
202012;BA;36593;CARAVELAS;2906907
202012;BA;18669;CARINHANHA;2907103
202012;BA;14168;CASA NOVA;2907202
202012;BA;1078;CASTRO ALVES;2907301
202012;BA;23070;CATU;2907509
202012;BA;38618;CICERO DANTAS;2907806
202012;BA;29548;CIPO;2907905
202012;BA;25858;COARACI;2908002
202012;BA;12706;COCOS;2908101
202012;BA;30379;CONCEICAO DO COITE;2908408
202012;BA;17134;CONCEICAO DO JACUIPE;2908507
202012;BA;8765;CONDE;2908606
202012;BA;39442;CONDEUBA;2908705
202012;BA;25872;CORRENTINA;2909307
202012;BA;22198;CRUZ DAS ALMAS;2909802
202012;BA;13808;CURACA;2909901
202012;BA;42288;DIAS D'AVILA;2910057
202012;BA;39198;ENTRE RIOS;2910503
202012;BA;31316;ESPLANADA;2910602
202012;BA;22806;EUCLIDES DA CUNHA;2910701
202012;BA;44262;EUNAPOLIS;2910727
202012;BA;11477;FEIRA DE SANTANA;2910800
202012;BA;11477;FEIRA DE SANTANA;2910800
202012;BA;11477;FEIRA DE SANTANA;2910800
202012;BA;11477;FEIRA DE SANTANA;2910800
202012;BA;11477;FEIRA DE SANTANA;2910800
202012;BA;11477;FEIRA DE SANTANA;2910800
202012;BA;11477;FEIRA DE SANTANA;2910800
202012;BA;11477;FEIRA DE SANTANA;2910800
202012;BA;25951;FORMOSA DO RIO PRETO;2911105
202012;BA;18937;GANDU;2911204
202012;BA;30520;GOVERNADOR MANGABEIRA;2911600
202012;BA;18322;GUANAMBI;2911709
202012;BA;36847;IACU;2911907
202012;BA;33644;IBIASSUCE;2912004
202012;BA;20200;IBICARAI;2912103
202012;BA;20217;IBIRATAIA;2912905
202012;BA;33620;IBOTIRAMA;2913200
202012;BA;39033;ILHEUS;2913606
202012;BA;39033;ILHEUS;2913606
202012;BA;39033;ILHEUS;2913606
202012;BA;30166;INHAMBUPE;2913705
202012;BA;17684;IPIAU;2913903
202012;BA;4116;IPIRA;2914000
202012;BA;35477;IPUPIARA;2914109
202012;BA;6396;IRAQUARA;2914406
202012;BA;40091;IRARA;2914505
202012;BA;31079;IRECE;2914604
202012;BA;45704;ITABELA;2914653
202012;BA;26998;ITABERABA;2914703
202012;BA;13671;ITABUNA;2914802
202012;BA;13671;ITABUNA;2914802
202012;BA;13671;ITABUNA;2914802
202012;BA;4439;ITACARE;2914901
202012;BA;18164;ITAGIBA;2915205
202012;BA;36012;ITAJUIPE;2915502
202012;BA;22679;ITAMARAJU;2915601
202012;BA;4477;ITAMBE;2915809
202012;BA;27021;ITANHEM;2916005
202012;BA;31440;ITAPETINGA;2916401
202012;BA;22686;ITAPICURU;2916500
202012;BA;36005;ITARANTIM;2916807
202012;BA;18195;ITIUBA;2917003
202012;BA;13705;ITORORO;2917102
202012;BA;31433;ITUBERA;2917300
202012;BA;14821;JACOBINA;2917508
202012;BA;1573;JAGUAQUARA;2917607
202012;BA;32504;JAGUARARI;2917706
202012;BA;5706;JEQUIE;2918001
202012;BA;38261;JEREMOABO;2918100
202012;BA;13925;JUAZEIRO;2918407
202012;BA;13925;JUAZEIRO;2918407
